country,year,region,PIP: Gini – all observations,WID: Top 1pc share – pretax – all observations,PIP: Gini – only matching observations,WID: Top 1pc share – pretax – only matching observations
Indonesia,1980,S & SE Asia,,14.79,,14.79
Indonesia,1984,S & SE Asia,33.4559805760469,,33.4559805760469,
Indonesia,2017,S & SE Asia,,15.53,,15.53
Indonesia,2018,S & SE Asia,38.41037729176489,,38.41037729176489,
Ireland,1980,W. Europe,,9.03,,
Ireland,2018,W. Europe,,12.45,,
Israel,1979,MENA,36.3299757619656,17.349999999999998,36.3299757619656,17.349999999999998
Israel,2016,MENA,,16.04,,16.04
Israel,2018,MENA,38.57717384665088,,38.57717384665088,
Italy,1980,W. Europe,,6.03,,
Italy,2014,W. Europe,,11.23,,
Japan,1980,East Asia,,10.67,,
Japan,2018,East Asia,,12.86,,
Luxembourg,1985,W. Europe,26.66724759342306,13.03,26.66724759342306,13.03
Luxembourg,2017,W. Europe,,13.750000000000002,,13.750000000000002
Luxembourg,2018,W. Europe,35.36809440930619,,35.36809440930619,
Malaysia,1984,S & SE Asia,48.624814852696055,20.13,48.624814852696055,20.13
Malaysia,2015,S & SE Asia,41.06639837531249,14.87,41.06639837531249,14.87
Malta,1980,W. Europe,,8.16,,
Malta,2017,W. Europe,,10.83,,
Mexico,1980,LAC,,12.03,,12.03
Mexico,1984,LAC,48.52701241671631,,48.52701241671631,
Mexico,2018,LAC,46.70695530062811,29.54,46.70695530062811,29.54
Montenegro,1980,EE & CA,,7.26,,
Montenegro,2017,EE & CA,,9.07,,
Morocco,1984,MENA,39.18663661414734,15.52,39.18663661414734,15.52
Morocco,2013,MENA,39.54850870115624,15.14,39.54850870115624,15.14
Netherlands,1980,W. Europe,,6.25,,6.25
Netherlands,1983,W. Europe,28.3660517601025,,28.3660517601025,
Netherlands,2017,W. Europe,,7.049999999999999,,7.049999999999999
Netherlands,2018,W. Europe,28.12108040445857,,28.12108040445857,
New Zealand,1980,W. Offshoots,,6.16,,
New Zealand,2018,W. Offshoots,,11.94,,
Nigeria,1985,SS Africa,38.67785059424594,12.02,38.67785059424594,12.02
Nigeria,2018,SS Africa,35.12774279386329,11.59,35.12774279386329,11.59
North Macedonia,1980,EE & CA,,6.93,,
North Macedonia,2017,EE & CA,,9.41,,
Norway,1979,W. Europe,26.89475873487844,,26.89475873487844,
Norway,1980,W. Europe,,7.6,,7.6
Norway,2017,W. Europe,,10.18,,10.18
Norway,2018,W. Europe,27.56086233181646,,27.56086233181646,
Panama,1979,LAC,48.74014232833994,,,
Panama,2018,LAC,49.21247336244875,,,
Peru,1985,LAC,45.63498240253612,,,
Peru,2018,LAC,42.38764789835111,,,
Philippines,1985,S & SE Asia,41.03743554912078,19.57,41.03743554912078,19.57
Philippines,2018,S & SE Asia,37.81170617851155,16.619999999999997,37.81170617851155,16.619999999999997
Poland,1980,EE & CA,,4.34,,4.34
Poland,1985,EE & CA,25.16496620900249,,25.16496620900249,
Poland,2018,EE & CA,30.215439384422787,14.66,30.215439384422787,14.66
Portugal,1980,W. Europe,,6.890000000000001,,
Portugal,2017,W. Europe,,11.65,,
Romania,1980,EE & CA,,5.65,,
Romania,2018,EE & CA,,13.93,,
Russia,1980,EE & CA,,3.56,,
Russia,2017,EE & CA,,20.0,,
Rwanda,1984,SS Africa,28.89859485975821,10.47,28.89859485975821,10.47
Rwanda,2016,SS Africa,43.71004775710726,19.89,43.71004775710726,19.89
Saudi Arabia,1980,MENA,,21.03,,
Saudi Arabia,2018,MENA,,20.98,,
Serbia,1984,EE & CA,,9.36,,
Serbia,2018,EE & CA,,11.63,,
Singapore,1980,S & SE Asia,,10.64,,
Singapore,2013,S & SE Asia,,13.76,,
Slovakia,1980,EE & CA,,4.24,,
Slovakia,2018,EE & CA,,7.86,,
South Korea,1980,East Asia,,8.450000000000001,,
South Korea,2016,East Asia,,11.76,,
Spain,1980,W. Europe,34.48354621302908,11.36,34.48354621302908,11.36
Spain,2017,W. Europe,,12.71,,12.71
Spain,2018,W. Europe,34.71894730060089,,34.71894730060089,
Sri Lanka,1985,S & SE Asia,32.46785443356632,14.77,32.46785443356632,14.77
Sri Lanka,2016,S & SE Asia,39.34577335702164,20.47,39.34577335702164,20.47
Sweden,1980,W. Europe,,7.199999999999999,,7.199999999999999
Sweden,1981,W. Europe,22.92357328057954,,22.92357328057954,
Sweden,2017,W. Europe,,10.02,,10.02
Sweden,2018,W. Europe,29.97418872901206,,29.97418872901206,
Switzerland,1980,W. Europe,,10.07,,10.07
Switzerland,1982,W. Europe,36.00737342131724,,36.00737342131724,
Switzerland,2017,W. Europe,,10.93,,10.93
Switzerland,2018,W. Europe,33.14105099791199,,33.14105099791199,
Taiwan,1980,East Asia,,9.96,,9.96
Taiwan,1981,East Asia,29.96948245392569,,29.96948245392569,
Taiwan,2016,East Asia,31.48271564455893,,31.48271564455893,
Taiwan,2017,East Asia,,19.33,,19.33
Thailand,1981,S & SE Asia,45.2168212614456,22.99,45.2168212614456,22.99
Thailand,2018,S & SE Asia,36.41217335828974,17.79,36.41217335828974,17.79
Tunisia,1985,MENA,43.43376640983841,18.08,43.43376640983841,18.08
Tunisia,2015,MENA,32.81588249697604,10.91,32.81588249697604,10.91
Turkey,1980,MENA,,27.92,,
Turkey,2018,MENA,,20.380000000000003,,
United Kingdom,1979,W. Europe,28.42722217537883,,28.42722217537883,
United Kingdom,1980,W. Europe,,6.78,,6.78
United Kingdom,2017,W. Europe,35.148830704729576,13.44,35.148830704729576,13.44
United States,1979,W. Offshoots,34.5001938467581,,34.5001938467581,
United States,1980,W. Offshoots,,10.43,,10.43
United States,2018,W. Offshoots,41.407843639922994,19.25,41.407843639922994,19.25
Uruguay,1981,LAC,43.6454285030306,,,
Uruguay,2018,LAC,39.68723978027348,,,
