Year,Entity,Gini,Top_10_share,Bottom_50_share,MLD,welfare_type
2002,Armenia,34.77967434362492,28.999344878283328,27.392142471881858,0.2000021505553029,consumption
2003,Armenia,33.02808687042925,28.19694775433056,28.59911814481363,0.1820946607943599,consumption
2004,Armenia,37.50563253607403,31.688368377106457,26.072292423064763,0.2373834374673204,consumption
2005,Armenia,35.99235344377731,30.77605821578018,26.995989547584983,0.2177629881714202,consumption
2006,Armenia,29.7099847661435,24.45401245869337,30.03168770265919,0.1458726641428381,consumption
2007,Armenia,31.22605825894329,25.12137998395635,29.06895444377404,0.1601372164812154,consumption
2008,Armenia,29.18814172710552,23.69014965442912,30.14114572524249,0.1397946216754774,consumption
2009,Armenia,28.015877401642246,22.91877485456277,30.9453958781373,0.1277639796916488,consumption
2010,Armenia,29.99258234323411,25.03390047505026,30.059406281235894,0.1487552976199838,consumption
2011,Armenia,29.35294582000863,23.96658046567289,30.22921905649359,0.1415770596623831,consumption
2012,Armenia,29.602261425865674,24.54022155878926,30.18746987143267,0.1451348548124422,consumption
2013,Armenia,30.57966315233129,24.68546419520827,29.434195629098358,0.15655967306116,consumption
2014,Armenia,31.48329065365821,25.74396952392892,28.96640171672348,0.1651664337631551,consumption
2015,Armenia,32.356771796160224,26.735056420171848,28.597144458223653,0.1763798462444015,consumption
2016,Armenia,32.54794835583837,25.28166084953173,27.86325248557771,0.1807564479937515,consumption
2017,Armenia,33.62183736332038,28.36886474039758,28.20262738061785,0.1908065473648701,consumption
2018,Armenia,34.4334976829172,29.19937859191279,27.76577630321285,0.2001982748959892,consumption
2019,Armenia,29.87820712565889,25.09367784237818,30.24750713760352,0.1498667407700764,consumption
2020,Armenia,25.17174260144776,21.473396325500723,32.94124068398854,0.1042313755320412,consumption
1981,Australia,31.32578703020214,23.3016362423389,28.41237060236561,0.1871018384096936,income
1985,Australia,32.49768527838415,24.28965666009919,27.75994291295776,0.2018399388535068,income
1989,Australia,33.15383472483562,24.66685465231012,27.29448518486585,0.2115106368649059,income
1995,Australia,32.5819904320173,24.6017009978003,27.75786415030587,0.1983917983230108,income
2001,Australia,33.46479770968015,25.06563007198892,27.073807930525803,0.2080546028282659,income
2003,Australia,33.50051608424518,25.08288970342789,27.095688199024742,0.2213422159494375,income
2004,Australia,33.05740947224963,25.31601671875327,27.52689626252839,0.2078065861580208,income
2008,Australia,35.42850828048215,27.41556766793271,26.18689484023937,0.2247777217704309,income
2010,Australia,34.65672759564665,26.457994593029,26.50331193796042,0.2163454924573286,income
2014,Australia,34.39943141661626,26.98347051456531,27.07773565317398,0.226975718062644,income
2016,Australia,33.68581054524752,25.80829233447277,27.197987047279447,0.2085786423528406,income
2018,Australia,34.33376217623682,26.61339077885694,26.989283711871618,0.2256164781519139,income
1987,Austria,23.04449326095372,19.288320752120992,33.99187684475509,0.0881504051649776,income
1994,Austria,31.32234231243466,24.5904133041809,28.85907143578338,0.1833061123446517,income
1995,Austria,31.059268893699148,22.40929673079998,28.44271333372439,0.1976860346533278,income
1997,Austria,30.22985337525076,23.44225219748645,29.33756164201526,0.1661891881173934,income
2000,Austria,28.837106093714898,22.71387978093437,30.262081025061732,0.1445856040659834,income
2003,Austria,29.466077903463976,23.46903271451975,30.073341254588502,0.1618627169554471,income
2004,Austria,29.78898976629073,23.842909110872903,29.891165111070883,0.1540466100972353,income
2005,Austria,28.7154333323379,22.84990510649157,30.38913141087263,0.1449956009050511,income
2006,Austria,29.58758294195254,23.71189099823909,29.96961312383482,0.1523935528813926,income
2007,Austria,30.57999587867441,23.84866421064743,29.20872788542645,0.1743517035720878,income
2008,Austria,30.43738581765435,24.10980113232439,29.4744333849848,0.1740833496582224,income
2009,Austria,31.49623235037961,24.68330815523667,28.787035247155117,0.2007922269296446,income
2010,Austria,30.252263104162893,23.56797793530525,29.411210259575903,0.1715899226907453,income
2011,Austria,30.801668703345207,23.68699719611575,28.994799485365057,0.1834470199518506,income
2012,Austria,30.47631780126278,23.44865882830843,29.255611693357338,0.1835567086659642,income
2013,Austria,30.75313313570373,24.2759845131008,29.25796747306304,0.1737551896470628,income
2014,Austria,30.5356827886501,24.06755689321184,29.36355920764089,0.1711517275119147,income
2015,Austria,30.532775035077268,23.842655519899942,29.306648804352612,0.1847442296667758,income
2016,Austria,30.797073997362617,23.84869402199065,29.075694621834742,0.1916717124800743,income
2017,Austria,29.73758498114096,22.99201355777502,29.6695026887011,0.1658704764396283,income
2018,Austria,30.84879012966293,23.91724203715526,29.009768807998,0.1858103081954235,income
2019,Austria,30.21155153853716,23.213705130124552,29.353108775425717,0.1829123149808883,income
1995,Azerbaijan,34.650285215721134,26.77216718723184,26.68702453396208,0.2078099096833012,consumption
2001,Azerbaijan,36.45493642463828,29.5072485295466,26.04307293956434,0.2184436090224801,consumption
2002,Azerbaijan,25.27766621834776,23.18553406171508,33.45658443148646,0.1062966197554557,consumption
2003,Azerbaijan,26.832877935174572,23.58696288569174,32.22038504296124,0.1182328663692097,consumption
2004,Azerbaijan,26.62159251504222,24.35157530885753,32.709506541662506,0.1181590736056347,consumption
2005,Azerbaijan,26.5549077050305,24.184112334794992,32.62615643022796,0.1164947509681128,consumption
1983,Bangladesh,25.87648986599902,21.86562999358458,32.50290541571437,0.1121437079004385,consumption
1988,Bangladesh,28.84654689790106,24.58222991201233,30.81114992343886,0.1384404764081743,consumption
1991,Bangladesh,27.5708056020332,23.28786920002852,31.43936213486431,0.1244338209459358,consumption
1995,Bangladesh,32.94298287446643,28.082972381126385,28.619832468482347,0.1777465740463482,consumption
2000,Bangladesh,33.40653087476158,27.863741625497777,28.08452977817479,0.1810651765616467,consumption
2005,Bangladesh,33.20129205904341,27.99544777196532,28.245811437620667,0.178585157383542,consumption
2010,Bangladesh,32.1303193870502,26.92535619979349,28.8063287993038,0.167585843592425,consumption
2016,Bangladesh,32.38527251961526,26.835072184627016,28.590596498057632,0.1718392435101097,consumption
1993,Belarus,21.60371933908537,19.40481375508106,35.26038599712139,0.0774013260099568,income
1995,Belarus,28.761730847533016,22.54968054009174,30.27574999994696,0.1429090594321272,income
1998,Belarus,32.01834983912742,24.91442457207991,28.293100856691254,0.172377341142026,consumption
1999,Belarus,31.738148576858887,24.03558477104808,28.20540067369097,0.1711599221610359,consumption
2000,Belarus,31.16748363514919,24.041267506944163,28.758705875341228,0.1652761966157523,consumption
2001,Belarus,30.57672370556842,23.99433133270386,29.2767673082988,0.1583320621672507,consumption
2002,Belarus,30.33624417930313,24.02110195429321,29.44952313126752,0.1558543973995412,consumption
2003,Belarus,28.8210117769894,22.6349988566462,30.270177104147244,0.1397379541425244,consumption
2004,Belarus,26.479885077878617,21.35055994383323,31.77275079977446,0.1158659410915967,consumption
2005,Belarus,27.553410686549828,21.802376155851448,31.07885089613418,0.1270927907563701,consumption
2006,Belarus,28.27544297264508,22.40242333690673,30.57944881746073,0.1335913709887179,consumption
2007,Belarus,29.612379867607032,23.57022247777268,29.927963871743138,0.1467796287211306,consumption
2008,Belarus,27.82604460351255,22.33080381811459,30.893938725037536,0.1294524208643544,consumption
2009,Belarus,27.689306302433742,22.57626624853701,31.244715353773767,0.128367646829193,consumption
2010,Belarus,28.56659975885773,22.85358629706033,30.46846398742425,0.1340469895937085,consumption
2011,Belarus,27.152551705398846,21.85466943601951,31.34659229408961,0.1219134862372318,consumption
2012,Belarus,26.52619902105469,21.79687064225463,31.91417999176748,0.1164401793448485,consumption
2013,Belarus,26.57505248326819,22.05884111760689,31.97487920476288,0.1184392087148715,consumption
2014,Belarus,27.176666828827777,22.56509808772686,31.662676512714448,0.1226964445759091,consumption
2015,Belarus,25.63322626514249,21.21172714255211,32.46537653744625,0.1081434218627225,consumption
2016,Belarus,25.30661617188906,21.26921394234265,32.812766166776385,0.1053944982285799,consumption
2017,Belarus,25.444570039197878,21.27941325833395,32.63657995866404,0.1060839261999364,consumption
2018,Belarus,25.24052540652808,21.3982655367411,32.92586869704855,0.1046176450821567,consumption
2019,Belarus,25.27784767977112,21.323205821374668,32.79148535579855,0.1048819885542564,consumption
2020,Belarus,24.38335524432795,20.72852037306313,33.31746039054718,0.0973626587289087,consumption
1985,Belgium,25.20385152739536,20.64184007266284,32.666313587618056,0.1131605940421071,income
1988,Belgium,25.71468298703951,21.07165782333844,32.49199828906894,0.1264824178144406,income
1992,Belgium,24.95187729242224,20.1356705725417,32.78662935202096,0.1212967834703793,income
1995,Belgium,28.41226885973401,22.84579760828445,30.89235466969405,0.1524488042592623,income
1997,Belgium,26.832562915845372,21.56831806635829,31.790877384960964,0.1362493398662126,income
2000,Belgium,33.13755887661159,28.31398604419068,28.922174239161627,0.2160093778380712,income
2003,Belgium,28.143948451693117,22.24552603148536,30.91379738765508,0.1460711511778233,income
2004,Belgium,30.54150296364575,25.11692330559191,29.924001728635137,0.1713974684384525,income
2005,Belgium,29.337329095154967,23.87669347877462,30.48232221473772,0.1590779979641764,income
2006,Belgium,28.054496386732342,22.40986585064641,30.96130887793069,0.1398272948953359,income
2007,Belgium,29.23797441243262,23.54219048966906,30.411936698561462,0.1528593102343409,income
2008,Belgium,28.374011396334893,22.724539688060748,30.845292785431788,0.1424016548074592,income
2009,Belgium,28.55135024075317,22.70916252174192,30.73903940777442,0.1465316350896711,income
2010,Belgium,28.375191152981177,22.74228877733485,30.924288206130683,0.1466986535580909,income
2011,Belgium,28.06069560163895,22.35160749100344,31.01087872407862,0.1422900738591813,income
2012,Belgium,27.4910949312405,21.93682913532217,31.35624105172326,0.1375148465801674,income
2013,Belgium,27.66920123064992,21.82653105304208,31.13441675376255,0.1383362607106407,income
2014,Belgium,28.134145869942067,22.41917749016286,30.910525404131235,0.1395211667469958,income
2015,Belgium,27.729462531859873,22.22709612510157,31.21219958494308,0.1358306535371353,income
2016,Belgium,27.58098191723335,22.15737265125881,31.366040086830928,0.135790700428425,income
2017,Belgium,27.387967788150817,21.94677626706896,31.48229539274503,0.1354935675935548,income
2018,Belgium,27.214413739767977,22.24361822160337,31.77431801379475,0.1314214969370712,income
2019,Belgium,27.21980084354912,22.31832974385913,31.77835153998167,0.1318558887709583,income
1993,Belize,60.25398602723078,51.14041188000391,14.006826263938871,0.690919260680067,income
1994,Belize,60.90842867641844,52.51856382356621,14.0333938220125,0.6866513255964142,income
1995,Belize,57.55428322522762,44.122029092028,13.0403129932615,0.6487516437901244,consumption
1996,Belize,56.59368513763792,46.54638954712145,15.22568990991289,0.595719731175908,income
1997,Belize,60.42531532673726,50.3058421152219,13.51368075078776,0.7229916072415387,income
1998,Belize,54.90602621687191,43.708892152864784,15.30398105433574,0.5534456170200367,income
1999,Belize,53.262765907494035,42.43645335921892,16.239700322167568,0.5292766907363047,income
2003,Benin,38.57819910305444,31.115842575900498,24.81185382080944,0.2463928917422134,consumption
2011,Benin,43.43970705610367,34.47828984699463,21.81006889732933,0.310542704847314,consumption
2015,Benin,47.755914122309036,37.62400757862818,19.33963766433376,0.4460352576829248,consumption
2018,Benin,37.808600030863346,29.87756721260289,25.023103626979708,0.2347439303777349,consumption
2003,Bhutan,40.89800090868365,32.21764764135104,23.00119114536487,0.272454962254902,consumption
2007,Bhutan,38.09077219456558,29.36851312066856,24.431199271868728,0.239599047631769,consumption
2012,Bhutan,38.80932705628996,30.73817952836032,24.42160338678984,0.249460125858129,consumption
2017,Bhutan,37.44140955485155,27.93155408176457,24.4956099365319,0.2323089377036195,consumption
1990,Bolivia,42.03572274787535,31.740870181807512,21.84451650352559,0.2978620205071222,income
1992,Bolivia,49.1100534350699,39.17012320781644,18.70321767826524,0.4130333160929933,income
1997,Bolivia,58.16442840694718,45.36248760936476,13.27312290050168,0.689944251362253,income
1999,Bolivia,58.097045660100235,42.60368144165964,11.960413985779848,0.7753145827801605,income
2000,Bolivia,61.639915066148255,47.8404907630268,10.9765803297433,0.8652532673087282,income
2001,Bolivia,57.398796141179666,44.15981084574688,13.41382997066199,0.6903169822892484,income
2002,Bolivia,59.31103912547761,46.614950935139,12.578999215799591,0.7522744619485525,income
2004,Bolivia,55.00987226006857,43.9163117278715,15.379587798175148,0.5684239999880436,income
2005,Bolivia,58.52793340914588,45.26919551754141,12.75464146986663,0.7033111720648242,income
2006,Bolivia,56.6676818445703,43.56105650301014,13.66341672486194,0.6468341528802299,income
2007,Bolivia,54.53706872224717,41.85604983629827,14.88341392174356,0.5763843200424653,income
2008,Bolivia,50.816080735460304,38.54018488251571,16.98530798796892,0.5032843184131867,income
2009,Bolivia,49.22296266832039,36.9191180423653,17.881484534531282,0.481866520416454,income
2011,Bolivia,46.080951448963546,33.68712902176271,19.3720068347288,0.4104447500750191,income
2012,Bolivia,46.58523184958174,33.67144630750631,18.90490129958081,0.437040712798901,income
2013,Bolivia,47.59878919235725,35.22437250071941,18.629048148860278,0.4437013716523744,income
2014,Bolivia,47.83199117796005,36.04517804680416,18.784652342928332,0.4376667730793698,income
2015,Bolivia,46.739953061109176,34.79842602980663,19.23945064884741,0.4256796557946649,income
2016,Bolivia,45.25066112052854,32.42976317420127,19.65458151976495,0.409469152415363,income
2017,Bolivia,44.61611392622338,32.00472529928105,19.96530063087402,0.3894324452136125,income
2018,Bolivia,42.57950487106838,30.58844642847536,21.29063493430942,0.3446156989863076,income
2019,Bolivia,41.649636456900765,30.8480009148392,22.15716650511071,0.3132624726729279,income
2020,Bolivia,43.6153287863421,32.57501342826775,21.0980604833526,0.3466548289111102,income
2001,Bosnia and Herzegovina,29.9664484890372,24.8235129925409,30.08824342193271,0.1566987435083123,consumption
2004,Bosnia and Herzegovina,34.03749008490955,26.356706629239778,27.03725797527754,0.1938177390847547,consumption
2007,Bosnia and Herzegovina,33.061586526663625,25.11303161534542,27.409019907367757,0.1827973393560783,consumption
2011,Bosnia and Herzegovina,33.030185869945825,25.1431023896789,27.487341502806878,0.1839835636586728,consumption
1985,Botswana,54.21210548710371,42.93086846917138,15.500055592075231,0.5227732579784907,consumption
1993,Botswana,60.79065038065183,51.20005807881838,13.19922497623903,0.6729668799481048,consumption
2002,Botswana,64.73130798051523,53.08274553218544,10.24842058204178,0.7958856997285153,consumption
2009,Botswana,60.45904680106251,49.61344802008581,12.657949478687248,0.6686280357357642,consumption
2015,Botswana,53.325026732765444,41.47603335167135,15.808971801475959,0.4970533142040455,consumption
1981,Brazil,57.930851136213654,45.8805795161211,13.419062781303499,0.614405380217451,income
1982,Brazil,58.41710574036838,46.23349327589745,13.10360026001636,0.6240849219570194,income
1983,Brazil,58.98801128771057,46.79312158612378,12.848332091078522,0.6309928015970395,income
1984,Brazil,58.376041407212284,46.5301917279701,13.22934837337137,0.6163888454550055,income
1985,Brazil,55.586791495910745,42.54930146392798,14.114767748768369,0.5648795392270598,income
1986,Brazil,58.46461326214878,46.56882028968518,13.195160395502889,0.6314922744794433,income
1987,Brazil,59.69279041260677,47.38407454097633,12.43010811518186,0.6674791953787255,income
1988,Brazil,61.4283583988664,49.19049325683929,11.5794201251896,0.7192468416296651,income
1989,Brazil,63.29512532201458,51.14934587838509,10.76695962519127,0.7683603017456399,income
1990,Brazil,60.48727251794812,48.07811422090076,11.985870005296661,0.6900815709019681,income
1992,Brazil,53.172955949419745,39.68669813581674,15.23243775726941,0.5321880955640546,income
1993,Brazil,60.11882146405485,48.45445095791511,12.538354817198531,0.6836380995766045,income
1995,Brazil,59.56972472537401,47.543864784350845,12.65188070192496,0.6638132320334794,income
1996,Brazil,59.888907015204985,47.35135379640933,12.301298685712531,0.6776260625994609,income
1997,Brazil,59.79965831130403,47.39163612548048,12.378573030018,0.6761515257011674,income
1998,Brazil,59.60723125182707,47.59190963971516,12.631225819876022,0.6633743642743772,income
1999,Brazil,58.991592911800936,47.00050782192533,12.956211913119931,0.6472880047703065,income
2001,Brazil,58.41332770786818,46.0961101645203,13.04530141849315,0.6529731196889452,income
2002,Brazil,58.1136431266806,46.1341306488762,13.29097256190416,0.6359328934830335,income
2003,Brazil,57.56279188014931,45.41353420704236,13.50199229712778,0.6272383409480021,income
2004,Brazil,56.47875163959137,44.53827407219125,14.13912559388667,0.5960366380764687,income
2005,Brazil,56.31629623740795,44.63486189537466,14.304043337691589,0.5898187577581949,income
2006,Brazil,55.6473170728186,44.056857811281006,14.70209470667227,0.5735292177855207,income
2007,Brazil,54.927744333238806,43.19421570903878,15.00469597640972,0.5652313964000188,income
2008,Brazil,54.043280023266526,42.49895192254377,15.53548384692443,0.5408462219223763,income
2009,Brazil,53.687233642523545,42.18398079617266,15.736850037735218,0.5344094356647726,income
2011,Brazil,52.94759256736236,41.710869220442056,16.20679292780457,0.519058395014541,income
2012,Brazil,53.43985273622276,42.38646095273584,16.02719567441871,0.5229052077940525,income
2013,Brazil,52.686540260211665,41.73824183282998,16.424472153043553,0.5043406424852754,income
2014,Brazil,52.0331403149989,41.049114066806005,16.76888741566071,0.489270750978033,income
2015,Brazil,51.930828730557074,40.854948257856336,16.79245487619076,0.4903603139593358,income
2016,Brazil,53.34284483239769,42.02827437760479,15.984394042748558,0.5244763196053611,income
2017,Brazil,53.33405003578899,41.98302717217105,15.965144065155549,0.5293208412591899,income
2018,Brazil,53.87094736890694,42.45251967902351,15.69335888985572,0.5418985664458725,income
2019,Brazil,53.485770443406444,41.92336596468797,15.840324982402102,0.5376300109308878,income
2020,Brazil,48.88038087191716,39.44602162324833,19.03423576172638,0.4206425987407097,income
1989,Bulgaria,23.42718459378532,20.0282491316479,33.87181027493994,0.08979577340222,consumption
1992,Bulgaria,30.7143080005277,24.74236237622629,29.33353482517363,0.1579239085301988,income
1994,Bulgaria,24.321970269241298,20.9920199710404,33.52124980320502,0.0988883953279049,consumption
1995,Bulgaria,32.77233801902764,26.35993604384475,28.33562070449284,0.1871834260904622,consumption
1997,Bulgaria,26.37824260585761,22.76896961555768,32.235463251351234,0.1139368425633987,consumption
2001,Bulgaria,32.68216141978437,24.92648147034515,27.903695579387026,0.1889924569771137,consumption
2003,Bulgaria,28.91790439797629,23.63102441769234,30.610919268281062,0.1428752424151509,consumption
2006,Bulgaria,35.70257336395637,26.55836730643767,26.214377282143232,0.274085390561544,income
2007,Bulgaria,28.13634140559076,22.15735178702815,30.792835543943198,0.1382251426162659,consumption
2007,Bulgaria,36.09599122596473,27.94908492752898,25.95541086822112,0.2365449856423961,income
2008,Bulgaria,33.5731273727392,25.6733525419497,27.42861168462926,0.2041994197321798,income
2009,Bulgaria,33.823198786853595,25.688491822159087,27.226840983628733,0.2078149102298347,income
2010,Bulgaria,35.65357214346186,26.90783051771277,26.12422740924204,0.2360823141736228,income
2011,Bulgaria,34.278607708546886,26.03113801097094,27.117945142622233,0.2247469097084482,income
2012,Bulgaria,36.0139230505351,27.38168966317624,26.0627715738178,0.2434573802187397,income
2013,Bulgaria,36.57364537318636,27.57912435009614,25.66037252306338,0.256884904613639,income
2014,Bulgaria,37.41856838867721,28.803315809233336,25.289321173484307,0.2590525278297853,income
2015,Bulgaria,38.56734715099758,28.7362005290648,24.352739726880362,0.2946310074535239,income
2016,Bulgaria,40.59106371074086,31.43963824156439,23.55377191190369,0.3113699244251605,income
2017,Bulgaria,40.37904682486896,31.88040592085327,23.85565028697306,0.29952913950328,income
2018,Bulgaria,41.28409897525426,32.619347932343764,23.35704825861539,0.3076750424206276,income
2019,Bulgaria,40.2713839760816,31.40421367500442,23.7562157384816,0.2949279404559721,income
1994,Burkina Faso,48.07249341528258,39.46891360469329,19.69215921223993,0.3852555917187711,consumption
1998,Burkina Faso,49.94396986213498,42.7445624836834,19.42831092760931,0.4278563791725346,consumption
2003,Burkina Faso,43.25251140539696,33.77974728697163,21.62064126886934,0.3150192361409264,consumption
2009,Burkina Faso,39.76223641224575,32.04796095714197,24.13955034711152,0.2632300186812784,consumption
2014,Burkina Faso,35.30122754546736,29.6012983922883,27.01372588706772,0.2015106274396991,consumption
2018,Burkina Faso,47.34712783901176,37.52367880422685,19.54736063405215,0.3706992039347299,consumption
1992,Burundi,33.33381193765381,26.58476054038229,27.601637841576977,0.182436623186937,consumption
1998,Burundi,42.31652584235382,32.703881577612194,22.32614948666684,0.3261394730755892,consumption
2006,Burundi,33.35986354923,27.9699419138683,27.99924795456552,0.1774276209767144,consumption
2013,Burundi,38.62481871355873,31.024532084718047,24.81735276525411,0.2467371383082949,consumption
1996,Cameroon,44.44675814039884,36.15324546641242,21.616558773408542,0.3251440455901689,consumption
2001,Cameroon,42.13679409584061,33.64551356083132,22.675966780254086,0.2979018303230833,consumption
2007,Cameroon,42.82006291689512,33.03795427893616,21.61005549892548,0.3031199355032851,consumption
2014,Cameroon,46.64087375714326,35.04315275269829,19.060334226176092,0.3788630664058796,consumption
1971,Canada,37.25714299369844,26.99490866408199,24.78418405693563,0.2876525973107662,income
1975,Canada,33.29836239689665,24.6370235933638,27.27953470771126,0.2113670628278351,income
1981,Canada,32.438636048068396,24.26742889032426,27.84017975686788,0.191723980929646,income
1987,Canada,31.47402595441589,23.84489378910493,28.51295477030394,0.1747378222720705,income
1991,Canada,31.021085691895202,23.601061548200068,28.82056964421966,0.1701123436285987,income
1994,Canada,31.25573609717015,23.6173687179347,28.633325256196308,0.1732217592261717,income
1997,Canada,31.630968804302974,23.82320411531193,28.4131523340701,0.1843466945534083,income
1998,Canada,33.16102933185715,25.309855313955183,27.624927338767478,0.2004191756808842,income
2000,Canada,33.34390906142359,25.52432951777973,27.53148797854222,0.1996077783682866,income
2004,Canada,33.7435608035605,25.57085496162464,27.18517058922415,0.2035297835338906,income
2007,Canada,33.841007895727024,26.014670950676223,27.2283948156015,0.2018142862689091,income
2010,Canada,33.59260336243562,25.73192666071531,27.358386594046948,0.2000484878294332,income
2012,Canada,33.539010784893506,25.16616421829546,27.19945408727658,0.2030088297881469,income
2013,Canada,33.79898215764888,25.117842463227408,26.94546602826359,0.2102191845390536,income
2014,Canada,33.15760596610752,25.15266713173225,27.482083309774488,0.1980498937487008,income
2015,Canada,33.74648246255682,25.47064128397331,27.136905627218887,0.2066308525459866,income
2016,Canada,32.70182369108442,24.96515680443586,27.800177189689478,0.1919316697622617,income
2017,Canada,33.30820627166964,25.31758311105838,27.38061601130611,0.1988965656945838,income
2001,Cape Verde,52.49630323032548,42.63956881477612,16.947210927759112,0.4786266935991942,consumption
2007,Cape Verde,47.18738891986336,37.14029911199784,19.6369831226267,0.3790471093136925,consumption
2015,Cape Verde,42.38108736078774,32.3022216139073,21.8623227993055,0.3019117805965614,consumption
1992,Central African Republic,61.330746101539546,47.7332746702528,10.9545945161092,0.7409221797628464,consumption
2008,Central African Republic,56.23660817940872,46.21854361741233,15.330164796051893,0.5706369591146395,consumption
2003,Chad,39.82457013478839,30.71005215189863,23.44963148863868,0.2676823670290654,consumption
2011,Chad,43.32121171502933,32.435335811324265,21.288392485860108,0.3313019957350901,consumption
2018,Chad,37.49915445789923,29.70175183638928,25.200087148011512,0.2307224497975429,consumption
1987,Chile,56.21015807083564,45.39136897617596,14.75331726656721,0.5715452310784741,income
1990,Chile,57.24910064009685,47.05051179697842,14.49630586137934,0.5897502946704495,income
